row,column,layer,node,Reach,Stage,Bottom,Conductanc,Conc,Width,Length,Thickness,K
"117","9","1","0","0",16.050000,10.247000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"117","10","1","0","0",16.049000,15.859000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"116","7","1","0","0",16.049000,14.343000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"116","8","1","0","0",16.049000,9.433000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"116","9","1","0","0",16.049000,10.258000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"116","10","1","0","0",16.049000,15.378000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"115","7","1","0","0",16.058000,16.054000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"115","8","1","0","0",16.057000,10.199000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"115","9","1","0","0",16.056000,10.118000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"115","10","1","0","0",16.056000,15.584000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"114","7","1","0","0",16.062000,15.728000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"114","8","1","0","0",16.062000,10.229000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"114","9","1","0","0",16.062000,10.112000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"114","10","1","0","0",16.061000,15.982000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"114","6","1","0","0",16.063000,16.036000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"113","6","1","0","0",16.064000,15.864000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"113","7","1","0","0",16.064000,9.470000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"113","8","1","0","0",16.064000,10.286000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"113","9","1","0","0",16.063000,10.769000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"113","5","1","0","0",16.067000,15.545000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"112","6","1","0","0",16.067000,15.460000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"112","7","1","0","0",16.066000,9.270000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"112","8","1","0","0",16.065000,10.752000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"112","9","1","0","0",16.065000,12.051000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"112","5","1","0","0",16.067000,15.459000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"111","5","1","0","0",16.069000,15.276000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"111","6","1","0","0",16.069000,14.903000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"111","7","1","0","0",16.068000,9.465000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"111","8","1","0","0",16.067000,11.562000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"111","9","1","0","0",16.067000,15.086000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"111","4","1","0","0",16.072000,15.444000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","4","1","0","0",16.072000,15.475000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","5","1","0","0",16.072000,15.351000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","6","1","0","0",16.071000,12.859000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","7","1","0","0",16.070000,10.114000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","8","1","0","0",16.069000,13.294000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","27","1","0","0",16.190000,16.186000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","28","1","0","0",16.191000,15.893000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","29","1","0","0",16.192000,16.174000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","26","1","0","0",16.188000,15.894000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","30","1","0","0",16.192000,15.835000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","31","1","0","0",16.193000,15.875000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","32","1","0","0",16.194000,15.907000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","33","1","0","0",16.195000,14.863000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","34","1","0","0",16.196000,15.502000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","25","1","0","0",16.182000,15.840000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"110","35","1","0","0",16.198000,15.593000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
