row,column,node,zone,Rech,Conc,Depth
67,112,0,1,0.0012,0.01,0
67,113,0,1,0.0012,0.01,0
68,111,0,1,0.0012,0.01,0
68,112,0,1,0.0012,0.01,0
68,113,0,1,0.0012,0.01,0
68,114,0,1,0.0012,0.01,0
69,110,0,1,0.0012,0.01,0
69,111,0,1,0.0012,0.01,0
69,112,0,1,0.0012,0.01,0
69,113,0,1,0.0012,0.01,0
69,114,0,1,0.0012,0.01,0
70,110,0,1,0.0012,0.01,0
70,111,0,1,0.0012,0.01,0
70,112,0,1,0.0012,0.01,0
70,113,0,1,0.0012,0.01,0
70,114,0,1,0.0012,0.01,0
71,110,0,1,0.0012,0.01,0
71,111,0,1,0.0012,0.01,0
71,112,0,1,0.0012,0.01,0
71,113,0,1,0.0012,0.01,0
71,114,0,1,0.0012,0.01,0
72,111,0,1,0.0012,0.01,0
72,112,0,1,0.0012,0.01,0
72,113,0,1,0.0012,0.01,0
72,114,0,1,0.0012,0.01,0
73,111,0,1,0.0012,0.01,0
73,112,0,1,0.0012,0.01,0
73,113,0,1,0.0012,0.01,0
73,114,0,1,0.0012,0.01,0
74,113,0,1,0.0012,0.01,0
76,103,0,1,0.0012,0.1,0
76,104,0,1,0.0012,0.1,0
76,105,0,1,0.0012,0.1,0
77,102,0,1,0.0012,0.1,0
77,103,0,1,0.0012,0.1,0
77,104,0,1,0.0012,0.1,0
77,105,0,1,0.0012,0.1,0
78,101,0,1,0.0012,0.1,0
78,102,0,1,0.0012,0.1,0
78,103,0,1,0.0012,0.1,0
78,104,0,1,0.0012,0.1,0
79,100,0,1,0.0012,0.1,0
79,101,0,1,0.0012,0.1,0
79,102,0,1,0.0012,0.1,0
80,99,0,1,0.0012,0.1,0
80,100,0,1,0.0012,0.1,0
80,101,0,1,0.0012,0.1,0
81,98,0,1,0.0012,0.1,0
81,99,0,1,0.0012,0.1,0
81,100,0,1,0.0012,0.1,0
82,96,0,1,0.0012,0.1,0
82,97,0,1,0.0012,0.1,0
82,98,0,1,0.0012,0.1,0
82,99,0,1,0.0012,0.1,0
83,93,0,1,0.0012,0.1,0
83,94,0,1,0.0012,0.1,0
83,95,0,1,0.0012,0.1,0
83,96,0,1,0.0012,0.1,0
83,97,0,1,0.0012,0.1,0
84,87,0,1,0.0012,0.1,0
84,88,0,1,0.0012,0.1,0
84,89,0,1,0.0012,0.1,0
84,90,0,1,0.0012,0.1,0
84,91,0,1,0.0012,0.1,0
84,92,0,1,0.0012,0.1,0
84,93,0,1,0.0012,0.1,0
84,94,0,1,0.0012,0.1,0
84,95,0,1,0.0012,0.1,0
85,87,0,1,0.0012,0.1,0
85,88,0,1,0.0012,0.1,0
85,89,0,1,0.0012,0.1,0
85,90,0,1,0.0012,0.1,0
85,91,0,1,0.0012,0.1,0
85,92,0,1,0.0012,0.1,0
85,93,0,1,0.0012,0.1,0
89,54,0,1,0.0012,0.01,0
89,55,0,1,0.0012,0.01,0
90,52,0,1,0.0012,0.01,0
90,53,0,1,0.0012,0.01,0
90,54,0,1,0.0012,0.01,0
90,55,0,1,0.0012,0.01,0
90,56,0,1,0.0012,0.01,0
90,57,0,1,0.0012,0.01,0
90,58,0,1,0.0012,0.01,0
90,59,0,1,0.0012,0.01,0
91,52,0,1,0.0012,0.01,0
91,53,0,1,0.0012,0.01,0
91,54,0,1,0.0012,0.01,0
91,55,0,1,0.0012,0.01,0
91,56,0,1,0.0012,0.01,0
91,57,0,1,0.0012,0.01,0
91,58,0,1,0.0012,0.01,0
91,59,0,1,0.0012,0.01,0
91,60,0,1,0.0012,0.01,0
91,61,0,1,0.0012,0.01,0
91,73,0,1,0.0012,0.01,0
91,74,0,1,0.0012,0.01,0
91,75,0,1,0.0012,0.01,0
92,52,0,1,0.0012,0.01,0
92,53,0,1,0.0012,0.01,0
92,54,0,1,0.0012,0.01,0
92,55,0,1,0.0012,0.01,0
92,56,0,1,0.0012,0.01,0
92,57,0,1,0.0012,0.01,0
92,58,0,1,0.0012,0.01,0
92,59,0,1,0.0012,0.01,0
92,71,0,1,0.0012,0.01,0
92,72,0,1,0.0012,0.01,0
92,73,0,1,0.0012,0.01,0
92,74,0,1,0.0012,0.01,0
93,54,0,1,0.0012,0.01,0
93,55,0,1,0.0012,0.01,0
93,56,0,1,0.0012,0.01,0
93,57,0,1,0.0012,0.01,0
93,58,0,1,0.0012,0.01,0
93,71,0,1,0.0012,0.01,0
93,72,0,1,0.0012,0.01,0
94,55,0,1,0.0012,0.01,0
94,56,0,1,0.0012,0.01,0
94,57,0,1,0.0012,0.01,0
94,58,0,1,0.0012,0.01,0
94,59,0,1,0.0012,0.01,0
94,60,0,1,0.0012,0.01,0
94,61,0,1,0.0012,0.01,0
94,65,0,1,0.0012,0.01,0
94,66,0,1,0.0012,0.01,0
94,67,0,1,0.0012,0.01,0
94,68,0,1,0.0012,0.01,0
94,69,0,1,0.0012,0.01,0
94,70,0,1,0.0012,0.01,0
94,74,0,1,0.0012,0.01,0
94,75,0,1,0.0012,0.01,0
94,76,0,1,0.0012,0.01,0
95,57,0,1,0.0012,0.01,0
95,58,0,1,0.0012,0.01,0
95,59,0,1,0.0012,0.01,0
95,60,0,1,0.0012,0.01,0
95,61,0,1,0.0012,0.01,0
95,62,0,1,0.0012,0.01,0
95,63,0,1,0.0012,0.01,0
95,64,0,1,0.0012,0.01,0
95,65,0,1,0.0012,0.01,0
95,66,0,1,0.0012,0.01,0
95,67,0,1,0.0012,0.01,0
95,68,0,1,0.0012,0.01,0
95,69,0,1,0.0012,0.01,0
95,70,0,1,0.0012,0.01,0
95,71,0,1,0.0012,0.01,0
95,72,0,1,0.0012,0.01,0
95,73,0,1,0.0012,0.01,0
95,74,0,1,0.0012,0.01,0
95,75,0,1,0.0012,0.01,0
95,76,0,1,0.0012,0.01,0
96,59,0,1,0.0012,0.01,0
96,60,0,1,0.0012,0.01,0
96,61,0,1,0.0012,0.01,0
96,62,0,1,0.0012,0.01,0
96,63,0,1,0.0012,0.01,0
96,64,0,1,0.0012,0.01,0
96,65,0,1,0.0012,0.01,0
96,66,0,1,0.0012,0.01,0
96,67,0,1,0.0012,0.01,0
96,68,0,1,0.0012,0.01,0
96,69,0,1,0.0012,0.01,0
96,70,0,1,0.0012,0.01,0
33,129,0,1,0.000247,0.1,0
34,126,0,1,0.000247,0.1,0
34,127,0,1,0.000247,0.1,0
34,128,0,1,0.000247,0.1,0
34,129,0,1,0.000247,0.1,0
35,124,0,1,0.000247,0.1,0
35,125,0,1,0.000247,0.1,0
35,126,0,1,0.000247,0.1,0
35,127,0,1,0.000247,0.1,0
35,128,0,1,0.000247,0.1,0
35,129,0,1,0.000247,0.1,0
35,130,0,1,0.000247,0.1,0
36,122,0,1,0.000247,0.1,0
36,123,0,1,0.000247,0.1,0
36,124,0,1,0.000247,0.1,0
36,125,0,1,0.000247,0.1,0
36,126,0,1,0.000247,0.1,0
36,127,0,1,0.000247,0.1,0
36,128,0,1,0.000247,0.1,0
36,129,0,1,0.000247,0.1,0
36,130,0,1,0.000247,0.1,0
37,120,0,1,0.000247,0.1,0
37,121,0,1,0.000247,0.1,0
37,122,0,1,0.000247,0.1,0
37,123,0,1,0.000247,0.1,0
37,124,0,1,0.000247,0.1,0
37,125,0,1,0.000247,0.1,0
37,126,0,1,0.000247,0.1,0
37,127,0,1,0.000247,0.1,0
37,128,0,1,0.000247,0.1,0
37,129,0,1,0.000247,0.1,0
37,130,0,1,0.000247,0.1,0
37,131,0,1,0.000247,0.1,0
38,120,0,1,0.000247,0.1,0
38,121,0,1,0.000247,0.1,0
38,122,0,1,0.000247,0.1,0
38,123,0,1,0.000247,0.1,0
38,124,0,1,0.000247,0.1,0
38,125,0,1,0.000247,0.1,0
38,126,0,1,0.000247,0.1,0
38,127,0,1,0.000247,0.1,0
38,128,0,1,0.000247,0.1,0
38,129,0,1,0.000247,0.1,0
38,130,0,1,0.000247,0.1,0
38,131,0,1,0.000247,0.1,0
39,120,0,1,0.000247,0.1,0
39,121,0,1,0.000247,0.1,0
39,122,0,1,0.000247,0.1,0
39,123,0,1,0.000247,0.1,0
39,124,0,1,0.000247,0.1,0
39,125,0,1,0.000247,0.1,0
39,126,0,1,0.000247,0.1,0
39,127,0,1,0.000247,0.1,0
39,128,0,1,0.000247,0.1,0
39,129,0,1,0.000247,0.1,0
39,130,0,1,0.000247,0.1,0
39,131,0,1,0.000247,0.1,0
39,132,0,1,0.000247,0.1,0
40,120,0,1,0.000247,0.1,0
40,121,0,1,0.000247,0.1,0
40,122,0,1,0.000247,0.1,0
40,123,0,1,0.000247,0.1,0
40,124,0,1,0.000247,0.1,0
40,125,0,1,0.000247,0.1,0
40,126,0,1,0.000247,0.1,0
40,127,0,1,0.000247,0.1,0
40,128,0,1,0.000247,0.1,0
40,129,0,1,0.000247,0.1,0
40,130,0,1,0.000247,0.1,0
40,131,0,1,0.000247,0.1,0
40,132,0,1,0.000247,0.1,0
40,133,0,1,0.000247,0.1,0
41,120,0,1,0.000247,0.1,0
41,121,0,1,0.000247,0.1,0
41,122,0,1,0.000247,0.1,0
41,123,0,1,0.000247,0.1,0
41,124,0,1,0.000247,0.1,0
41,125,0,1,0.000247,0.1,0
41,126,0,1,0.000247,0.1,0
41,127,0,1,0.000247,0.1,0
41,128,0,1,0.000247,0.1,0
