ts,value
2021-03-09 15:43:35.834,
2021-03-09 16:12:22.581,
2021-03-09 17:32:07.790,
2021-03-09 19:33:06.844,0.0
2021-03-09 19:53:06.810,0.0
2021-03-09 20:02:17.037,0.0
2021-03-09 20:36:54.577,0.0
2021-03-09 21:11:33.116,0.0
2021-03-09 21:46:09.877,0.0
2021-03-09 22:20:47.476,0.0
2021-03-09 22:55:25.847,0.0
2021-03-09 23:30:04.497,0.0
2021-03-10 00:04:40.409,0.0
2021-03-10 00:39:19.060,0.0
2021-03-10 01:13:57.533,0.0
2021-03-10 01:48:33.914,0.0
2021-03-10 02:23:10.988,0.0
2021-03-10 02:57:48.646,0.0
2021-03-10 03:32:26.356,0.0
2021-03-10 04:07:04.208,0.0
2021-03-10 04:41:43.940,0.0
2021-03-10 05:16:21.369,0.0
2021-03-10 05:50:58.217,0.0
2021-03-10 06:25:36.422,0.0
2021-03-10 07:00:13.389,0.0
2021-03-10 07:34:44.332,0.0
2021-03-10 08:09:24.372,0.0
2021-03-10 08:44:00.382,0.0
2021-03-10 09:18:38.173,0.0
2021-03-10 09:53:17.513,0.0
2021-03-10 10:27:53.293,0.0
2021-03-10 11:02:30.741,0.0
2021-03-10 11:37:10.546,0.0
2021-03-10 12:11:45.274,0.0
2021-03-10 12:46:23.576,0.0
2021-03-10 13:21:01.059,0.0
2021-03-10 13:55:38.058,0.0
2021-03-10 14:29:51.964,0.0
2021-03-10 15:09:26.603,0.0
2021-03-10 15:43:12.623,0.0
2021-03-10 16:17:46.187,0.0
2021-03-10 16:52:19.933,0.0
2021-03-10 17:26:58.025,0.0
2021-03-10 18:01:33.423,0.0
2021-03-10 18:36:13.848,0.0
2021-03-10 19:10:48.555,0.0
2021-03-14 14:07:09.357,0.0
2021-03-14 14:41:29.288,0.0
2021-03-14 15:16:14.898,0.0
2021-03-14 15:50:34.851,0.0
2021-03-14 16:24:54.980,0.0
2021-03-14 16:59:15.110,0.0
2021-03-14 17:33:35.230,0.0
2021-03-14 18:07:56.031,0.0
2021-03-14 18:42:15.420,0.0
2021-03-14 19:16:36.340,0.0
2021-03-14 19:50:55.477,0.0
2021-03-14 20:25:15.665,0.0
2021-03-14 20:59:35.757,0.0
2021-03-14 21:33:57.114,0.0
2021-03-14 22:08:17.247,0.0
2021-03-14 22:42:37.327,0.0
2021-03-14 23:16:56.083,0.0
2021-03-14 23:51:17.162,0.0
2021-03-15 00:25:37.366,0.0
2021-03-15 00:59:56.843,0.0
2021-03-15 01:34:17.313,0.0
2021-03-15 02:08:38.189,0.0
2021-03-15 02:42:57.211,0.0
2021-03-15 03:17:18.622,0.0
2021-03-15 03:51:38.758,0.0
2021-03-15 04:25:57.958,0.0
2021-03-15 05:00:18.002,0.0
2021-03-15 05:34:38.196,0.0
2021-03-15 06:08:58.396,0.0
2021-03-15 06:43:18.561,0.0
2021-03-15 07:17:38.795,0.0
2021-03-15 07:51:59.466,0.0
2021-03-15 08:26:19.689,0.0
2021-03-15 09:00:40.247,0.0
2021-03-15 09:35:00.594,0.0
2021-03-15 10:09:20.763,0.0
2021-03-15 10:43:41.099,0.0
2021-03-15 11:18:01.210,0.0
2021-03-15 11:52:21.662,0.0
2021-03-15 12:26:41.948,0.0
2021-03-15 13:01:03.532,0.0
2021-03-15 13:35:23.944,0.0
2021-03-15 14:09:42.926,0.0
2021-03-15 14:44:03.874,0.0
2021-03-15 15:18:25.507,0.0
2021-03-15 15:52:44.295,0.0
2021-03-15 16:27:07.526,0.0
2021-03-15 17:01:25.125,0.0
2021-03-15 17:35:50.936,0.0
2021-03-15 18:10:19.850,0.0
2021-03-15 18:44:47.270,0.0
2021-03-15 19:19:15.930,0.0
2021-03-15 19:53:44.530,0.0
2021-03-15 20:28:14.061,0.0
2021-03-15 21:02:41.640,0.0
2021-03-15 21:37:11.400,0.0
2021-03-15 22:11:39.841,0.0
2021-03-15 22:46:08.551,0.0
2021-03-15 23:13:47.798,0.0
2021-03-15 23:20:39.870,0.0
2021-03-15 23:38:24.620,0.0
2021-03-15 23:55:04.580,0.0
2021-03-16 00:02:52.940,0.0
2021-03-16 00:27:59.110,
2021-03-16 00:29:44.440,
2021-03-16 00:52:33.667,0.0
2021-03-16 01:04:10.379,0.0
2021-03-16 01:17:06.869,0.0
2021-03-16 01:39:06.569,0.0
2021-03-16 01:41:27.929,0.0
2021-03-16 02:06:03.770,0.0
2021-03-16 02:13:34.391,0.0
2021-03-16 02:30:37.038,0.0
2021-03-16 02:48:07.590,0.0
2021-03-16 02:55:09.880,0.0
2021-03-16 03:18:45.970,0.0
2021-03-16 03:23:09.900,0.0
2021-03-16 03:43:19.070,0.0
2021-03-16 03:57:32.421,0.0
2021-03-16 04:07:53.478,
2021-03-16 04:32:23.150,
2021-03-16 04:33:25.090,0.0
2021-03-16 04:58:02.980,0.0
2021-03-16 05:06:50.480,0.0
2021-03-16 05:22:34.500,0.0
2021-03-16 05:41:18.211,0.0
2021-03-16 05:47:05.841,0.0
2021-03-16 06:11:44.638,0.0
2021-03-16 06:15:49.080,0.0
2021-03-16 06:36:19.360,0.0
2021-03-16 06:50:25.730,0.0
2021-03-16 07:00:53.200,0.0
2021-03-16 07:25:23.390,0.0
2021-03-16 07:26:48.298,0.0
2021-03-16 07:51:57.820,0.0
2021-03-16 08:01:18.290,0.0
2021-03-16 08:16:32.491,0.0
2021-03-16 08:35:43.290,0.0
2021-03-16 08:41:03.821,0.0
2021-03-16 09:05:39.048,0.0
2021-03-16 09:10:15.610,0.0
2021-03-16 09:30:11.940,0.0
2021-03-16 09:44:59.720,0.0
2021-03-16 09:54:44.901,0.0
2021-03-16 10:20:34.555,0.0
2021-03-16 10:20:39.399,0.0
2021-03-16 10:45:07.979,0.0
2021-03-16 10:55:01.307,0.0
2021-03-16 11:09:40.500,0.0
2021-03-16 11:29:32.140,0.0
2021-03-16 11:34:16.490,0.0
2021-03-16 11:58:48.340,0.0
2021-03-16 12:04:00.530,0.0
2021-03-16 12:23:21.988,0.0
2021-03-16 12:38:27.051,0.0
2021-03-16 12:47:58.728,0.0
2021-03-16 13:12:36.201,0.0
2021-03-16 13:14:04.850,0.0
2021-03-16 13:37:09.550,0.0
2021-03-16 13:48:35.391,0.0
2021-03-16 14:01:42.030,0.0
2021-03-16 14:22:23.000,0.0
2021-03-16 14:26:17.070,0.0
2021-03-16 14:51:02.248,0.0
2021-03-16 14:57:01.810,0.0
2021-03-16 15:15:48.852,0.0
2021-03-16 15:31:44.930,0.0
2021-03-16 15:40:43.120,0.0
2021-03-16 16:05:28.400,0.0
2021-03-16 16:06:29.070,0.0
2021-03-16 16:30:11.730,0.0
2021-03-16 16:41:11.060,0.0
2021-03-16 16:57:02.395,0.0
2021-03-16 17:21:21.775,0.0
2021-03-16 17:45:40.915,0.0
2021-03-16 18:10:01.715,0.0
2021-03-16 18:34:23.086,0.0
2021-03-16 18:58:41.535,0.0
2021-03-16 19:23:03.745,0.0
2021-03-16 19:47:23.726,0.0
2021-03-16 20:11:41.906,0.0
2021-03-16 20:36:02.146,0.0
2021-03-16 21:00:23.158,0.0
2021-03-16 21:24:44.037,0.0
2021-03-16 21:49:03.477,0.0
2021-03-16 22:13:24.779,0.0
2021-03-16 22:37:46.218,0.0
2021-03-16 23:02:06.748,0.0
2021-03-16 23:26:28.398,0.0
2021-03-16 23:50:52.269,0.0
2021-03-17 00:16:33.931,0.0
2021-03-17 00:40:57.480,0.0
2021-03-17 01:05:16.659,0.0
2021-03-17 01:29:38.061,0.0
2021-03-17 01:54:00.744,0.004856599999999989
2021-03-17 02:18:21.561,0.00810169999999999
2021-03-17 02:42:44.129,0.011400200000000082
2021-03-17 03:07:06.540,0.013282300000000025
2021-03-17 03:31:25.929,0.015887299999999993
2021-03-17 03:55:46.889,0.017761600000000044
2021-03-17 04:20:08.797,0.019633200000000073
2021-03-17 04:44:29.721,0.021780200000000027
2021-03-17 05:08:51.202,0.02354579999999995
2021-03-17 05:33:12.695,0.025443900000000075
2021-03-17 05:57:35.933,0.027205499999999994
2021-03-17 06:21:56.404,0.028400900000000062
2021-03-17 06:46:18.444,0.03044150000000001
2021-03-17 07:10:38.543,0.032157400000000114
2021-03-17 07:37:00.715,0.034104899999999994
2021-03-17 08:01:21.605,0.03520000000000001
2021-03-17 08:25:43.916,0.03611600000000004
2021-03-17 08:50:04.596,0.03694819999999999
2021-03-17 09:14:30.536,0.0383192
2021-03-17 09:38:47.866,0.03930040000000001
2021-03-17 10:03:09.356,0.04013690000000003
2021-03-17 10:27:34.617,0.04060269999999999
2021-03-17 10:51:52.567,0.04124430000000001
2021-03-17 11:16:13.087,0.04283540000000008
2021-03-17 11:40:34.768,0.04296520000000004
2021-03-17 12:04:56.847,0.04349100000000006
2021-03-17 12:18:33.878,0.04433799999999999
2021-03-17 12:42:56.037,0.045319
2021-03-17 13:07:16.607,0.045629800000000054
2021-03-17 13:31:39.765,0.04602169999999994
2021-03-17 13:56:00.705,0.046939000000000064
2021-03-17 14:20:23.045,0.04807460000000008
2021-03-17 14:44:43.275,0.04847760000000001
2021-03-17 15:09:07.433,0.0492703000000001
2021-03-17 15:33:25.251,0.050613099999999966
2021-03-17 15:57:46.592,0.05126569999999997
2021-03-17 16:22:08.083,0.05183140000000008
2021-03-17 16:49:31.333,0.053303699999999954
2021-03-17 17:13:52.723,0.053464999999999985
2021-03-17 17:38:13.864,0.05512539999999999
2021-03-17 18:02:35.374,0.055460400000000076
2021-03-17 18:26:55.844,0.0569577
2021-03-17 18:51:18.443,0.05820419999999993
2021-03-17 19:15:39.584,0.05915619999999999
2021-03-17 19:40:00.204,0.060734900000000036
2021-03-17 20:04:23.751,0.06146269999999998
2021-03-17 20:28:43.842,0.06242980000000009
2021-03-17 20:53:05.691,0.06424359999999996
2021-03-17 21:17:26.202,0.06555680000000008
2021-03-17 21:41:49.692,0.06551730000000011
2021-03-17 22:06:10.593,0.06819949999999997
2021-03-17 22:30:31.102,0.06846300000000005
2021-03-17 22:54:53.202,0.07141240000000004
2021-03-17 23:19:13.682,0.0740786
2021-03-17 23:43:36.722,0.07638020000000001
2021-03-18 00:07:56.242,0.0789706
2021-03-18 00:17:39.620,0.07949859999999997
2021-03-18 00:42:02.258,0.08226369999999994
2021-03-18 01:06:20.290,0.08499270000000003
2021-03-18 01:30:41.829,0.08778819999999998
2021-03-18 01:55:03.720,0.09028599999999998
2021-03-18 02:19:25.949,0.09161380000000008
2021-03-18 02:43:46.741,0.08812350000000002
2021-03-18 03:08:08.940,0.08607930000000008
2021-03-18 03:32:29.939,0.08401080000000005
2021-03-18 03:56:53.499,0.0824608
2021-03-18 04:21:15.279,0.08100430000000003
2021-03-18 04:45:34.611,0.07952919999999997
2021-03-18 05:09:55.680,0.07810019999999995
2021-03-18 05:34:17.769,0.07736350000000003
2021-03-18 05:58:39.240,0.07630419999999993
2021-03-18 06:23:00.887,0.07545600000000008
2021-03-18 06:47:21.689,0.0745886
2021-03-18 07:11:43.799,0.07380609999999999
