ts,value
2021-03-09 20:37:18.907,
2021-03-09 20:42:47.440,
2021-03-09 20:48:17.570,
2021-03-09 20:53:44.710,
2021-03-09 20:59:13.413,
2021-03-09 21:04:45.535,
2021-03-09 21:10:11.082,
2021-03-09 21:15:40.073,
2021-03-09 21:21:10.660,
2021-03-09 21:26:38.516,
2021-03-09 21:32:07.047,
2021-03-09 21:37:35.795,
2021-03-09 21:43:06.162,
2021-03-09 21:48:34.931,
2021-03-09 21:54:02.106,
2021-03-09 21:59:31.835,
2021-03-09 22:05:01.392,
2021-03-09 22:10:29.660,
2021-03-09 22:15:58.665,
2021-03-09 22:21:26.804,
2021-03-09 22:26:56.092,
2021-03-09 22:32:25.338,
2021-03-09 22:37:54.604,
2021-03-09 22:43:22.528,
2021-03-09 22:48:51.446,
2021-03-09 22:54:22.716,
2021-03-09 22:59:50.024,
2021-03-09 23:05:18.299,
2021-03-09 23:10:47.196,
2021-03-09 23:16:16.966,
2021-03-09 23:21:45.533,
2021-03-09 23:27:16.172,
2021-03-09 23:32:45.314,
2021-03-09 23:38:11.883,
2021-03-09 23:43:43.109,
2021-03-09 23:49:09.730,
2021-03-09 23:54:52.605,
2021-03-09 23:59:59.317,
2021-03-10 00:05:29.133,
2021-03-10 00:10:57.775,
2021-03-10 00:16:26.864,
2021-03-10 00:21:56.175,
2021-03-10 00:27:26.254,
2021-03-10 00:33:01.124,
2021-03-10 00:38:21.833,
2021-03-10 00:43:51.354,
2021-03-10 00:49:22.294,
2021-03-10 00:54:50.016,
2021-03-10 01:00:19.594,
2021-03-10 01:05:47.324,
2021-03-10 01:11:16.195,
2021-03-10 01:16:45.025,
2021-03-10 01:22:15.235,
2021-03-10 01:27:43.003,
2021-03-10 01:33:11.085,
2021-03-10 01:38:40.085,
2021-03-10 01:44:09.215,
2021-03-10 01:49:43.615,
2021-03-10 01:55:07.635,
2021-03-10 02:00:39.255,
2021-03-10 02:06:09.145,
2021-03-10 02:11:33.965,
2021-03-10 02:17:04.863,
2021-03-10 02:22:32.565,
2021-03-10 02:28:01.483,
2021-03-10 02:33:29.436,
2021-03-10 02:39:01.345,
2021-03-10 02:44:28.006,
2021-03-10 02:49:59.895,
2021-03-10 02:55:27.375,
2021-03-10 03:00:57.535,
2021-03-10 03:06:25.843,
2021-03-10 03:11:55.044,
2021-03-10 03:17:20.994,
2021-03-10 03:22:56.215,
2021-03-10 03:28:20.914,
2021-03-10 03:33:47.712,
2021-03-10 03:39:14.124,
2021-03-10 03:44:40.565,
2021-03-10 03:50:11.914,
2021-03-10 03:55:38.065,
2021-03-10 04:01:07.664,
2021-03-10 04:06:35.924,
2021-03-10 04:12:05.524,
